Designator,Mid X,Mid Y,Rotation,Layer
D69,292.89375,-91.44,270.0,top
D7,47.625,-62.865,270.0,top
D70,270.271875,-120.015,270.0,top
D71,292.89375,-139.065,270.0,top
D72,269.08125,-139.065,270.0,top
D73,245.26875,-139.065,270.0,top
D74,276.225,-34.29,270.0,top
D75,295.275,-34.29,270.0,top
D76,361.95,-62.865,270.0,top
D77,342.9,-62.865,270.0,top
D78,361.95,-81.915,270.0,top
D79,342.9,-81.915,270.0,top
D8,57.15,-81.915,270.0,top
D80,323.85,-62.865,270.0,top
D81,342.9,-120.015,270.0,top
D82,323.85,-139.065,270.0,top
D83,323.85,-81.915,270.0,top
D84,361.95,-139.065,270.0,top
D85,342.9,-139.065,270.0,top
D9,61.9125,-100.965,270.0,top
J1,338.6,-41.1,0.0,top
J2,373.3,-49.2,0.0,top
J3,373.3,-52.4,180.0,top
LDO1,365.3725,-50.8,180.0,top
LED1,132.625,-32.95,0.0,bottom
LED10,113.575,-61.45,0.0,bottom
LED11,94.575,-61.45,0.0,bottom
LED12,75.475,-61.45,0.0,bottom
LED13,56.475,-61.45,0.0,bottom
LED14,37.375,-61.55,0.0,bottom
LED15,37.375,-32.95,0.0,bottom
LED16,75.475,-32.95,0.0,bottom
LED17,94.575,-32.95,0.0,bottom
LED18,113.575,-32.95,0.0,bottom
LED19,294.575,-61.45,0.0,bottom
LED2,161.225,-32.95,0.0,bottom
LED20,266.075,-61.45,0.0,bottom
LED21,246.975,-61.45,0.0,bottom
LED22,227.875,-61.55,0.0,bottom
LED23,208.775,-61.45,0.0,bottom
LED24,189.775,-61.45,0.0,bottom
LED25,170.775,-61.45,0.0,bottom
LED26,151.675,-61.45,0.0,bottom
LED27,132.675,-61.45,0.0,bottom
LED28,142.225,-80.55,0.0,bottom
LED29,123.125,-80.55,0.0,bottom
LED3,180.325,-32.95,0.0,bottom
LED30,104.125,-80.55,0.0,bottom
LED31,85.1,-80.5,0.0,bottom
LED32,66.025,-80.55,0.0,bottom
LED33,41.925,-80.55,0.0,bottom
LED34,370.825,-61.45,0.0,bottom
LED35,351.7,-61.5,0.0,bottom
LED36,332.625,-61.45,0.0,bottom
LED37,332.7,-80.5,0.0,bottom
LED38,301.675,-89.95,0.0,bottom
LED39,275.6,-80.5,0.0,bottom
LED4,199.3,-32.9,0.0,bottom
LED40,256.525,-80.55,0.0,bottom
LED41,237.425,-80.55,0.0,bottom
LED42,218.4,-80.6,0.0,bottom
LED43,199.4,-80.6,0.0,bottom
LED44,180.325,-80.55,0.0,bottom
LED45,161.325,-80.55,0.0,bottom
LED46,165.975,-99.55,0.0,bottom
LED47,147.0,-99.6,0.0,bottom
LED48,127.9,-99.6,0.0,bottom
LED49,108.9,-99.6,0.0,bottom
LED5,218.4,-32.9,0.0,bottom
LED50,89.9,-99.6,0.0,bottom
LED51,70.675,-99.55,0.0,bottom
LED52,44.2,-99.6,0.0,bottom
LED53,370.825,-80.45,0.0,bottom
LED54,351.8,-80.5,0.0,bottom
LED55,370.825,-137.75,0.0,bottom
LED56,61.2,-118.6,0.0,bottom
LED57,39.675,-118.65,0.0,bottom
LED58,280.325,-99.55,0.0,bottom
LED59,261.3,-99.6,0.0,bottom
LED6,246.925,-32.95,0.0,bottom
LED60,242.2,-99.6,0.0,bottom
LED61,223.025,-99.65,0.0,bottom
LED62,204.025,-99.65,0.0,bottom
LED63,185.025,-99.55,0.0,bottom
LED64,232.675,-118.65,0.0,bottom
LED65,213.675,-118.65,0.0,bottom
LED66,194.6,-118.6,0.0,bottom
LED67,175.5,-118.6,0.0,bottom
LED68,156.5,-118.6,0.0,bottom
LED69,137.5,-118.6,0.0,bottom
LED7,266.025,-32.95,0.0,bottom
LED70,118.4,-118.6,0.0,bottom
LED71,99.3,-118.6,0.0,bottom
LED72,80.3,-118.6,0.0,bottom
LED73,254.1,-137.7,0.0,bottom
LED74,230.1,-137.7,0.0,bottom
LED75,158.425,-137.65,0.0,bottom
LED76,87.625,-137.65,0.0,bottom
LED77,63.825,-137.65,0.0,bottom
LED78,39.7,-137.7,0.0,bottom
LED79,351.8,-118.6,0.0,bottom
LED8,285.075,-32.95,0.0,bottom
LED80,286.9,-118.6,0.0,bottom
